ID Aluno,Academia,Cidade,Esporte,Status Civil,Data Check-in,Duração (Min)
4719,Fitness Up,Espinho,Yoga,Viúvo(a),2024-02-08,69
9863,Fitness Up,Espinho,Ciclyn,Casado(a),2024-05-07,1
8610,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-08-22,103
3807,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-04-11,72
1889,Fitness Up,Matosinhos,Musculação,Divorciado(a),2023-03-24,74
5996,Fitness Up,Setubal,Yoga,Divorciado(a),2023-08-01,75
840,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-09-08,105
3369,Fitness Up,Espinho,Ciclyn,Casado(a),2024-02-02,17
7403,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-05-09,25
7959,Fitness Up,Setubal,Yoga,Solteiro(a),2024-02-10,109
9545,Fitness Up,Matosinhos,Yoga,Casado(a),2024-02-06,31
7403,Fitness Up,Setubal,Yoga,Viúvo(a),2023-11-13,49
7197,Fitness Up,Setubal,Yoga,Divorciado(a),2024-01-30,12
9667,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-05-31,78
1874,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-06-04,72
9186,Fitness Up,Setubal,Yoga,Solteiro(a),2023-10-16,1
7766,Fitness Up,Setubal,Yoga,Casado(a),2024-03-02,21
2619,Fitness Up,Setubal,Musculação,Divorciado(a),2023-07-14,110
4517,Fitness Up,Setubal,Yoga,Divorciado(a),2024-04-15,80
696,Fitness Up,Setubal,Yoga,Divorciado(a),2024-06-14,28
5941,Fitness Up,Matosinhos,Yoga,Casado(a),2023-01-09,80
3036,Fitness Up,Gondomar,Yoga,Casado(a),2024-03-07,31
9967,Fitness Up,Espinho,Yoga,Solteiro(a),2024-05-18,3
3369,Fitness Up,Matosinhos,Musculação,Casado(a),2023-05-10,9
6386,Fitness Up,Setubal,Yoga,Solteiro(a),2023-04-12,47
4056,Fitness Up,Espinho,Yoga,Viúvo(a),2024-06-11,104
4452,Fitness Up,Espinho,Musculação,Solteiro(a),2023-06-08,37
600,Fitness Up,Setubal,Musculação,Viúvo(a),2024-04-13,87
8164,Fitness Up,Espinho,Ciclyn,Casado(a),2023-02-03,14
7393,Fitness Up,Gondomar,Ciclyn,Casado(a),2023-10-13,10
8104,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-09-02,42
4856,Fitness Up,Espinho,Yoga,Divorciado(a),2024-05-08,114
5689,Fitness Up,Matosinhos,Musculação,Divorciado(a),2024-05-08,2
7691,Fitness Up,Matosinhos,Yoga,Casado(a),2023-05-11,105
2794,Fitness Up,Espinho,Ciclyn,Solteiro(a),2023-10-07,75
3036,Fitness Up,Gondomar,Musculação,Casado(a),2024-05-22,11
2794,Fitness Up,Gondomar,Musculação,Casado(a),2023-01-10,54
8116,Fitness Up,Espinho,Yoga,Viúvo(a),2024-06-08,92
3245,Fitness Up,Espinho,Yoga,Solteiro(a),2024-05-11,119
5411,Fitness Up,Espinho,Yoga,Casado(a),2023-11-20,108
9304,Fitness Up,Gondomar,Musculação,Divorciado(a),2023-09-04,68
1445,Fitness Up,Matosinhos,Musculação,Solteiro(a),2023-02-03,57
6665,Fitness Up,Matosinhos,Musculação,Solteiro(a),2023-05-28,1
6840,Fitness Up,Gondomar,Ciclyn,Casado(a),2023-08-02,23
2578,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-08-08,18
1809,Fitness Up,Matosinhos,Musculação,Casado(a),2023-10-26,30
5354,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-03-19,39
8610,Fitness Up,Setubal,Ciclyn,Divorciado(a),2023-05-25,103
1874,Fitness Up,Setubal,Ciclyn,Viúvo(a),2024-02-04,106
4458,Fitness Up,Espinho,Ciclyn,Viúvo(a),2024-02-18,2
6762,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-09-22,63
7482,Fitness Up,Gondomar,Yoga,Solteiro(a),2023-11-15,4
7482,Fitness Up,Matosinhos,Musculação,Solteiro(a),2023-04-13,32
2970,Fitness Up,Espinho,Ciclyn,Viúvo(a),2024-06-13,56
9547,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2023-12-20,38
8510,Fitness Up,Setubal,Ciclyn,Viúvo(a),2024-03-13,85
9672,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2024-01-20,103
4347,Fitness Up,Gondomar,Musculação,Viúvo(a),2024-03-11,49
4452,Fitness Up,Espinho,Musculação,Casado(a),2024-03-19,118
5280,Fitness Up,Setubal,Yoga,Casado(a),2024-04-10,61
6097,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-07-07,92
2845,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2023-09-07,49
9667,Fitness Up,Gondomar,Ciclyn,Casado(a),2023-02-18,6
6762,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2023-09-11,66
9584,Fitness Up,Matosinhos,Musculação,Solteiro(a),2024-05-11,31
9909,Fitness Up,Gondomar,Yoga,Solteiro(a),2024-03-05,37
6386,Fitness Up,Gondomar,Yoga,Divorciado(a),2023-03-10,21
8376,Fitness Up,Espinho,Musculação,Solteiro(a),2024-05-01,44
2307,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-07-17,74
9450,Fitness Up,Setubal,Yoga,Solteiro(a),2023-02-09,25
7835,Fitness Up,Matosinhos,Yoga,Solteiro(a),2024-05-12,118
6419,Fitness Up,Setubal,Musculação,Solteiro(a),2023-04-05,82
9909,Fitness Up,Setubal,Ciclyn,Casado(a),2023-09-10,24
1657,Fitness Up,Gondomar,Yoga,Divorciado(a),2023-12-13,48
9547,Fitness Up,Espinho,Yoga,Viúvo(a),2023-05-07,16
7095,Fitness Up,Espinho,Yoga,Solteiro(a),2024-01-11,77
1478,Fitness Up,Gondomar,Musculação,Solteiro(a),2024-02-03,56
9836,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-02-03,18
6494,Fitness Up,Espinho,Ciclyn,Solteiro(a),2023-12-23,52
3529,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2023-09-14,112
3245,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-06-18,35
3909,Fitness Up,Setubal,Ciclyn,Solteiro(a),2023-05-28,47
7482,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-03-02,103
1834,Fitness Up,Setubal,Yoga,Divorciado(a),2023-12-21,35
7959,Fitness Up,Espinho,Musculação,Casado(a),2023-12-15,104
6923,Fitness Up,Espinho,Ciclyn,Casado(a),2023-07-31,86
5580,Fitness Up,Setubal,Yoga,Casado(a),2023-11-28,114
4697,Fitness Up,Matosinhos,Musculação,Casado(a),2023-02-17,56
597,Fitness Up,Matosinhos,Yoga,Casado(a),2024-02-27,64
7959,Fitness Up,Matosinhos,Musculação,Solteiro(a),2024-05-25,81
2766,Fitness Up,Espinho,Yoga,Viúvo(a),2024-02-10,31
8795,Fitness Up,Setubal,Yoga,Solteiro(a),2024-03-28,56
2970,Fitness Up,Setubal,Ciclyn,Solteiro(a),2024-01-29,35
4347,Fitness Up,Espinho,Yoga,Solteiro(a),2023-12-10,44
66,Fitness Up,Matosinhos,Musculação,Solteiro(a),2023-10-13,75
4843,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2023-03-11,79
8376,Fitness Up,Espinho,Yoga,Divorciado(a),2023-02-14,80
5436,Fitness Up,Espinho,Musculação,Casado(a),2023-06-27,54
8104,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-11-08,58
2794,Fitness Up,Setubal,Musculação,Divorciado(a),2023-12-20,93
3519,Fitness Up,Setubal,Musculação,Solteiro(a),2024-01-29,56
9682,Fitness Up,Matosinhos,Ciclyn,Casado(a),2023-01-14,35
8667,Fitness Up,Setubal,Musculação,Viúvo(a),2023-03-22,113
699,Fitness Up,Matosinhos,Yoga,Casado(a),2023-07-22,119
4269,Fitness Up,Espinho,Yoga,Divorciado(a),2023-06-26,42
8227,Fitness Up,Setubal,Ciclyn,Casado(a),2023-07-02,25
5631,Fitness Up,Espinho,Ciclyn,Divorciado(a),2024-01-19,35
7872,Fitness Up,Setubal,Ciclyn,Divorciado(a),2023-10-07,75
699,Fitness Up,Setubal,Ciclyn,Casado(a),2024-05-31,82
6273,Fitness Up,Setubal,Ciclyn,Solteiro(a),2024-02-27,47
7896,Fitness Up,Gondomar,Musculação,Solteiro(a),2024-05-13,81
1155,Fitness Up,Gondomar,Musculação,Solteiro(a),2023-01-30,57
717,Fitness Up,Setubal,Musculação,Solteiro(a),2023-12-19,18
4424,Fitness Up,Setubal,Ciclyn,Solteiro(a),2024-06-27,20
1063,Fitness Up,Matosinhos,Yoga,Divorciado(a),2024-03-24,117
268,Fitness Up,Gondomar,Ciclyn,Solteiro(a),2024-05-14,53
182,Fitness Up,Espinho,Ciclyn,Solteiro(a),2023-01-19,101
5689,Fitness Up,Setubal,Yoga,Solteiro(a),2024-04-06,87
6925,Fitness Up,Espinho,Musculação,Viúvo(a),2024-03-31,39
4056,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-01-30,85
3529,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-05-26,9
3036,Fitness Up,Espinho,Ciclyn,Casado(a),2024-02-27,43
1094,Fitness Up,Gondomar,Yoga,Casado(a),2024-01-16,109
268,Fitness Up,Espinho,Yoga,Solteiro(a),2024-01-27,23
6762,Fitness Up,Gondomar,Yoga,Casado(a),2024-06-22,105
481,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2024-05-13,50
9399,Fitness Up,Gondomar,Yoga,Casado(a),2024-06-24,55
8116,Fitness Up,Gondomar,Musculação,Solteiro(a),2023-10-09,83
7835,Fitness Up,Espinho,Yoga,Divorciado(a),2023-02-09,88
2619,Fitness Up,Matosinhos,Ciclyn,Casado(a),2023-04-06,79
4018,Fitness Up,Setubal,Ciclyn,Solteiro(a),2023-05-18,14
6762,Fitness Up,Matosinhos,Musculação,Solteiro(a),2024-06-18,45
1657,Fitness Up,Gondomar,Yoga,Casado(a),2023-06-22,51
7691,Fitness Up,Matosinhos,Yoga,Casado(a),2023-11-05,89
8667,Fitness Up,Gondomar,Ciclyn,Solteiro(a),2024-06-08,60
268,Fitness Up,Matosinhos,Musculação,Divorciado(a),2023-05-12,115
6762,Fitness Up,Matosinhos,Musculação,Divorciado(a),2023-05-18,21
4856,Fitness Up,Matosinhos,Yoga,Solteiro(a),2023-07-09,40
4146,Fitness Up,Setubal,Yoga,Divorciado(a),2023-11-15,112
9304,Fitness Up,Espinho,Musculação,Solteiro(a),2024-06-30,33
481,Fitness Up,Matosinhos,Yoga,Casado(a),2024-01-23,3
481,Fitness Up,Setubal,Ciclyn,Casado(a),2023-12-17,75
3036,Fitness Up,Matosinhos,Musculação,Casado(a),2024-06-10,116
1809,Fitness Up,Gondomar,Musculação,Solteiro(a),2023-05-14,119
3807,Fitness Up,Matosinhos,Musculação,Viúvo(a),2024-06-18,90
7872,Fitness Up,Gondomar,Yoga,Solteiro(a),2024-03-24,1
9600,Fitness Up,Setubal,Ciclyn,Viúvo(a),2023-10-15,54
2773,Fitness Up,Espinho,Yoga,Solteiro(a),2023-01-07,113
8667,Fitness Up,Matosinhos,Yoga,Solteiro(a),2024-05-12,69
2891,Fitness Up,Espinho,Musculação,Casado(a),2023-06-01,19
8191,Fitness Up,Setubal,Yoga,Solteiro(a),2023-06-26,49
7872,Fitness Up,Setubal,Yoga,Viúvo(a),2023-02-05,70
6419,Fitness Up,Matosinhos,Yoga,Solteiro(a),2024-04-19,105
6087,Fitness Up,Setubal,Ciclyn,Viúvo(a),2023-03-17,20
1657,Fitness Up,Setubal,Ciclyn,Viúvo(a),2023-12-25,117
4347,Fitness Up,Setubal,Musculação,Divorciado(a),2024-01-06,55
5280,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-06-03,7
2970,Fitness Up,Espinho,Yoga,Viúvo(a),2024-04-10,9
2307,Fitness Up,Espinho,Ciclyn,Divorciado(a),2023-12-05,30
8904,Fitness Up,Matosinhos,Musculação,Solteiro(a),2024-03-14,90
3728,Fitness Up,Setubal,Musculação,Viúvo(a),2024-06-13,76
8510,Fitness Up,Gondomar,Musculação,Casado(a),2023-04-29,84
9028,Fitness Up,Gondomar,Musculação,Casado(a),2023-09-05,73
7095,Fitness Up,Setubal,Ciclyn,Divorciado(a),2023-05-29,78
7886,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2023-04-15,52
6273,Fitness Up,Espinho,Yoga,Solteiro(a),2024-01-17,69
6419,Fitness Up,Setubal,Musculação,Solteiro(a),2023-01-21,12
4843,Fitness Up,Matosinhos,Yoga,Viúvo(a),2024-03-29,30
5077,Fitness Up,Espinho,Ciclyn,Divorciado(a),2024-04-29,46
9672,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2023-02-13,22
7399,Fitness Up,Gondomar,Yoga,Casado(a),2024-03-04,70
9192,Fitness Up,Setubal,Ciclyn,Viúvo(a),2023-08-24,64
3909,Fitness Up,Espinho,Yoga,Viúvo(a),2023-12-19,22
8551,Fitness Up,Setubal,Ciclyn,Casado(a),2023-08-13,45
4709,Fitness Up,Matosinhos,Yoga,Divorciado(a),2023-02-17,10
784,Fitness Up,Setubal,Yoga,Casado(a),2023-10-07,94
9399,Fitness Up,Espinho,Yoga,Casado(a),2023-03-27,88
3728,Fitness Up,Setubal,Yoga,Divorciado(a),2024-06-16,117
9682,Fitness Up,Espinho,Ciclyn,Solteiro(a),2023-04-05,8
4856,Fitness Up,Setubal,Musculação,Divorciado(a),2023-12-16,92
8164,Fitness Up,Matosinhos,Musculação,Viúvo(a),2024-01-04,78
7403,Fitness Up,Espinho,Yoga,Divorciado(a),2023-09-13,42
6202,Fitness Up,Gondomar,Ciclyn,Solteiro(a),2024-03-03,80
2708,Fitness Up,Matosinhos,Yoga,Solteiro(a),2023-07-15,2
2311,Fitness Up,Matosinhos,Ciclyn,Casado(a),2023-12-19,60
2084,Fitness Up,Setubal,Musculação,Solteiro(a),2023-03-07,43
9209,Fitness Up,Setubal,Musculação,Viúvo(a),2023-08-20,64
9268,Fitness Up,Espinho,Musculação,Casado(a),2023-03-07,53
9600,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-12-30,116
6087,Fitness Up,Espinho,Ciclyn,Casado(a),2023-03-05,9
9450,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2024-03-30,72
3036,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2023-03-14,57
8191,Fitness Up,Setubal,Yoga,Divorciado(a),2023-05-15,45
6925,Fitness Up,Setubal,Musculação,Viúvo(a),2023-07-27,45
7403,Fitness Up,Espinho,Musculação,Divorciado(a),2024-04-07,36
1132,Fitness Up,Setubal,Yoga,Divorciado(a),2024-02-27,71
699,Fitness Up,Gondomar,Musculação,Casado(a),2023-06-13,57
9584,Fitness Up,Gondomar,Ciclyn,Casado(a),2024-06-26,112
7399,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-05-22,105
7399,Fitness Up,Setubal,Musculação,Solteiro(a),2023-06-15,18
4619,Fitness Up,Gondomar,Yoga,Viúvo(a),2023-11-17,14
8220,Fitness Up,Setubal,Yoga,Casado(a),2023-09-10,108
4843,Fitness Up,Gondomar,Yoga,Divorciado(a),2023-05-14,85
8164,Fitness Up,Setubal,Yoga,Divorciado(a),2023-05-05,6
2311,Fitness Up,Espinho,Musculação,Divorciado(a),2023-04-10,80
6840,Fitness Up,Matosinhos,Musculação,Casado(a),2023-10-30,18
4517,Fitness Up,Gondomar,Yoga,Solteiro(a),2024-03-12,1
600,Fitness Up,Espinho,Yoga,Casado(a),2023-10-31,114
1755,Fitness Up,Setubal,Yoga,Viúvo(a),2023-08-17,74
4697,Fitness Up,Espinho,Musculação,Viúvo(a),2024-02-29,60
9184,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-08-02,57
1361,Fitness Up,Espinho,Yoga,Solteiro(a),2024-05-12,120
5077,Fitness Up,Matosinhos,Yoga,Casado(a),2023-01-29,62
2243,Fitness Up,Setubal,Ciclyn,Divorciado(a),2024-02-07,109
9600,Fitness Up,Matosinhos,Musculação,Viúvo(a),2023-11-05,32
6087,Fitness Up,Espinho,Ciclyn,Casado(a),2024-01-10,87
5580,Fitness Up,Espinho,Yoga,Solteiro(a),2023-03-29,12
7130,Fitness Up,Gondomar,Ciclyn,Casado(a),2024-01-27,41
5242,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2023-10-25,102
3036,Fitness Up,Matosinhos,Yoga,Casado(a),2023-04-24,21
4619,Fitness Up,Gondomar,Ciclyn,Solteiro(a),2024-03-06,26
1657,Fitness Up,Matosinhos,Yoga,Casado(a),2023-05-29,85
1755,Fitness Up,Setubal,Musculação,Divorciado(a),2023-01-04,56
9949,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2023-02-04,39
5242,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-04-22,98
5580,Fitness Up,Espinho,Musculação,Viúvo(a),2024-05-14,14
6576,Fitness Up,Setubal,Musculação,Divorciado(a),2023-03-25,72
3083,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2023-04-19,90
8116,Fitness Up,Gondomar,Musculação,Casado(a),2023-11-26,64
600,Fitness Up,Setubal,Ciclyn,Casado(a),2024-03-11,97
3529,Fitness Up,Matosinhos,Yoga,Solteiro(a),2023-02-28,39
7226,Fitness Up,Matosinhos,Yoga,Casado(a),2024-02-01,25
3073,Fitness Up,Setubal,Musculação,Viúvo(a),2023-03-23,73
6665,Fitness Up,Setubal,Yoga,Solteiro(a),2023-08-23,61
8795,Fitness Up,Espinho,Yoga,Viúvo(a),2023-04-23,59
1094,Fitness Up,Espinho,Musculação,Viúvo(a),2024-03-24,101
840,Fitness Up,Setubal,Ciclyn,Casado(a),2024-01-24,52
8789,Fitness Up,Setubal,Ciclyn,Solteiro(a),2023-06-27,56
6273,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-02-25,6
2311,Fitness Up,Matosinhos,Yoga,Solteiro(a),2023-05-22,104
9836,Fitness Up,Setubal,Musculação,Casado(a),2023-12-29,11
9967,Fitness Up,Espinho,Musculação,Solteiro(a),2024-02-17,78
8313,Fitness Up,Matosinhos,Ciclyn,Casado(a),2024-03-15,14
3245,Fitness Up,Matosinhos,Ciclyn,Casado(a),2023-09-23,71
9184,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-04-05,95
4018,Fitness Up,Gondomar,Yoga,Divorciado(a),2023-12-23,39
3909,Fitness Up,Setubal,Yoga,Solteiro(a),2023-04-19,53
4719,Fitness Up,Espinho,Musculação,Viúvo(a),2023-09-12,113
5242,Fitness Up,Setubal,Yoga,Divorciado(a),2024-05-29,35
7766,Fitness Up,Espinho,Yoga,Divorciado(a),2023-05-09,68
5354,Fitness Up,Espinho,Musculação,Solteiro(a),2023-05-29,94
2754,Fitness Up,Gondomar,Musculação,Casado(a),2023-03-20,28
66,Fitness Up,Espinho,Musculação,Casado(a),2024-05-28,54
8795,Fitness Up,Gondomar,Yoga,Solteiro(a),2023-03-11,41
1258,Fitness Up,Matosinhos,Musculação,Viúvo(a),2023-01-08,9
8551,Fitness Up,Setubal,Musculação,Casado(a),2023-06-04,68
2084,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-12-26,85
7399,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2024-04-23,92
7793,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2024-03-22,21
481,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-01-29,28
5996,Fitness Up,Gondomar,Yoga,Casado(a),2023-05-21,44
9282,Fitness Up,Gondomar,Yoga,Divorciado(a),2024-04-13,5
8116,Fitness Up,Espinho,Yoga,Viúvo(a),2024-03-22,52
8904,Fitness Up,Espinho,Musculação,Divorciado(a),2024-03-20,67
784,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-08-23,16
1258,Fitness Up,Setubal,Ciclyn,Viúvo(a),2023-02-15,51
6548,Fitness Up,Matosinhos,Musculação,Viúvo(a),2023-11-07,19
2845,Fitness Up,Setubal,Yoga,Divorciado(a),2024-02-25,112
4056,Fitness Up,Setubal,Yoga,Divorciado(a),2024-06-16,102
6202,Fitness Up,Espinho,Musculação,Solteiro(a),2024-03-15,8
6923,Fitness Up,Gondomar,Musculação,Divorciado(a),2023-01-02,88
5990,Fitness Up,Espinho,Yoga,Casado(a),2023-06-25,56
7793,Fitness Up,Espinho,Ciclyn,Solteiro(a),2023-10-28,43
4445,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-06-12,2
9304,Fitness Up,Gondomar,Ciclyn,Casado(a),2023-02-26,37
7691,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2023-09-23,77
6444,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-02-25,109
9184,Fitness Up,Matosinhos,Yoga,Viúvo(a),2023-03-08,82
9450,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-01-23,6
9103,Fitness Up,Espinho,Ciclyn,Solteiro(a),2024-06-21,48
2708,Fitness Up,Espinho,Musculação,Divorciado(a),2023-05-15,87
6312,Fitness Up,Setubal,Musculação,Viúvo(a),2023-10-07,90
3096,Fitness Up,Gondomar,Musculação,Divorciado(a),2023-01-18,115
7766,Fitness Up,Gondomar,Ciclyn,Viúvo(a),2023-11-10,34
1889,Fitness Up,Espinho,Musculação,Casado(a),2023-07-07,111
3728,Fitness Up,Gondomar,Musculação,Solteiro(a),2024-02-08,73
3036,Fitness Up,Matosinhos,Ciclyn,Solteiro(a),2023-10-17,110
1834,Fitness Up,Matosinhos,Ciclyn,Divorciado(a),2023-11-28,38
1258,Fitness Up,Setubal,Musculação,Viúvo(a),2023-02-21,7
8846,Fitness Up,Matosinhos,Musculação,Casado(a),2024-03-13,20
7197,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-06-10,64
8795,Fitness Up,Espinho,Yoga,Divorciado(a),2023-10-12,30
6444,Fitness Up,Setubal,Ciclyn,Solteiro(a),2023-11-06,109
9399,Fitness Up,Setubal,Musculação,Viúvo(a),2024-01-27,47
6665,Fitness Up,Gondomar,Ciclyn,Casado(a),2023-04-30,85
9209,Fitness Up,Setubal,Musculação,Casado(a),2024-01-26,105
8675,Fitness Up,Espinho,Ciclyn,Viúvo(a),2023-04-03,36
8034,Fitness Up,Matosinhos,Musculação,Viúvo(a),2024-05-12,55
6202,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2024-04-30,119
8116,Fitness Up,Espinho,Musculação,Divorciado(a),2023-03-07,85
7793,Fitness Up,Setubal,Ciclyn,Solteiro(a),2023-02-23,70
9028,Fitness Up,Espinho,Yoga,Casado(a),2023-12-02,41
3519,Fitness Up,Espinho,Yoga,Divorciado(a),2024-04-23,24
2766,Fitness Up,Matosinhos,Yoga,Solteiro(a),2023-07-07,94
9192,Fitness Up,Setubal,Yoga,Divorciado(a),2023-12-10,101
7793,Fitness Up,Gondomar,Yoga,Casado(a),2023-10-23,93
4709,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2023-07-02,52
1196,Fitness Up,Setubal,Ciclyn,Divorciado(a),2024-02-27,51
5354,Fitness Up,Setubal,Musculação,Solteiro(a),2023-06-05,91
5580,Fitness Up,Gondomar,Ciclyn,Solteiro(a),2023-03-20,9
6444,Fitness Up,Setubal,Musculação,Casado(a),2023-04-03,4
2746,Fitness Up,Setubal,Yoga,Viúvo(a),2023-04-03,113
2845,Fitness Up,Gondomar,Ciclyn,Casado(a),2024-04-01,60
4020,Fitness Up,Setubal,Musculação,Divorciado(a),2023-02-23,9
3036,Fitness Up,Gondomar,Yoga,Viúvo(a),2023-10-25,53
5026,Fitness Up,Espinho,Musculação,Solteiro(a),2023-01-26,104
2093,Fitness Up,Gondomar,Musculação,Divorciado(a),2024-01-25,20
784,Fitness Up,Gondomar,Musculação,Solteiro(a),2024-05-28,95
5280,Fitness Up,Gondomar,Musculação,Viúvo(a),2023-04-07,36
5411,Fitness Up,Espinho,Yoga,Solteiro(a),2023-05-11,14
4856,Fitness Up,Matosinhos,Yoga,Divorciado(a),2024-06-30,34
1445,Fitness Up,Matosinhos,Ciclyn,Viúvo(a),2023-02-03,65
3073,Fitness Up,Gondomar,Ciclyn,Divorciado(a),2023-12-18,118
8313,Fitness Up,Espinho,Ciclyn,Casado(a),2024-02-26,110
658,Fitness Up,Espinho,Yoga,Solteiro(a),2024-02-25,45
